,date,name,value
659,2021-09-15,Canterbury-Bankstown (A),222
660,2021-09-15,Cumberland (A),151
661,2021-09-15,Fairfield (C),71
662,2021-09-15,Georges River (A),30
663,2021-09-15,Liverpool (C),147
664,2021-09-15,Parramatta (C),43
665,2021-09-16,Blacktown (C),126
666,2021-09-16,Campbelltown (C) (NSW),71
667,2021-09-16,Canterbury-Bankstown (A),198
668,2021-09-16,Cumberland (A),127
669,2021-09-16,Fairfield (C),49
670,2021-09-16,Georges River (A),23
671,2021-09-16,Liverpool (C),126
672,2021-09-16,Parramatta (C),30
673,2021-09-17,Blacktown (C),132
674,2021-09-17,Campbelltown (C) (NSW),38
675,2021-09-17,Canterbury-Bankstown (A),202
676,2021-09-17,Cumberland (A),127
677,2021-09-17,Fairfield (C),58
678,2021-09-17,Georges River (A),26
679,2021-09-17,Liverpool (C),129
680,2021-09-17,Parramatta (C),40
681,2021-09-18,Blacktown (C),110
682,2021-09-18,Campbelltown (C) (NSW),40
683,2021-09-18,Canterbury-Bankstown (A),156
